Place,Place,=
Session_chair,SessionChair,=
Author,Author,=
Document,Document,=
State,Country,=
Welcome_address,WelcomeTalk,=
Sponzorship,Sponsorship,=
Reviewer,Reviewer,=
Delegate,Attendee,=
Dinner_banquet,ConferenceDinner,=
Social_program,SocialEvent,=
Coffee_break,CoffeeBreak,=
Review,Review,=
Coctail_reception,Reception,=
Conference_activity,ConferenceEvent,=
Transparency,SlideSet,=
Submission,Paper,=
Conference_building,ConferenceVenuePlace,=
Conference_restaurant,DiningPlace,=
