Programme_Brochure,Information_for_participants,=
Person,Person,=
Tutorial,Tutorial,=
Review,Review,=
hasReview,has_a_review,=
Workshop,Workshop,=
Late-Registered_Participant,Late_paid_applicant,=
Early-Registered_Participant,Early_paid_applicant,=
Organisation,Organization,=
Workshop_Chair,Track-workshop_chair,=
Abstract,Abstract,=
Conference_Proceedings,Conference_proceedings,=
Conference,Conference_volume,=
Rejected_Paper,Rejected_contribution,=
Poster_Paper,Poster,=
Track,Track,=
Research_Topic,Topic,=
Web_Site,Conference_www,=
Invited_Speaker,Invited_speaker,=
authorOf,contributes,=
Accepted_Paper,Accepted_contribution,=
Document,Conference_document,=
Evaluated_Paper,Reviewed_contribution,=
Submitted_Paper,Submitted_contribution,=
Paper_Author,Regular_author,=
